Address,City,State,Zip,Latitude,Longitude
10513 S. Michigan Ave.,Chicago,IL,60628,42.01714971,-87.67317857
240 W. 107th Place,Chicago,IL,60628,42.00757377,-87.66517114
10450 S. Michigan Ave.,Chicago,IL,60628,41.69301591,-87.62776735
10400-30 S. Michigan Ave.,Chicago,IL,60628,41.70307738,-87.62054468
63 E. 104th St.,Chicago,IL,60628,41.69899564,-87.62954345
3251 E. 92nd St.,Chicago,IL,60617,41.70389075,-87.62077116
9200 S. Burley Ave.,Chicago,IL,60617,41.70534195,-87.62064503
3200 E. 92nd St.,Chicago,IL,60617,41.72821355,-87.54469279
2700 S. Drake Ave.,Chicago,IL,60608,41.74195912,-87.5598599
7018 S. Cregier Ave.,Chicago,IL,60649,41.72821986,-87.54575578
2804 E. 77th Place,Chicago,IL,60649,41.72840878,-87.54682246
7538 S. Kingston Ave.,Chicago,IL,60649,41.84247656,-87.71366715
2355 E. 67th St.,Chicago,IL,60649,41.76738208,-87.58140538
5012 N. Winthrop Ave.,Chicago,IL,60640,41.7546866,-87.55496472
900 W. Windsor Ave.,Chicago,IL,60640,41.75787127,-87.56285983
4431 N. Clifton Ave.,Chicago,IL,60640,41.77343579,-87.56778382
927 W. Wilson Ave.,Chicago,IL,60640,41.97370056,-87.65789194
4727 N. Malden St.,Chicago,IL,60640,41.9645923,-87.65250544
847-49 W. Sunnyside Ave.,Chicago,IL,60640,41.96265369,-87.65819285
4130 N. Kenmore Ave.,Chicago,IL,60640,41.96533937,-87.65347906
1032 W. Montrose Ave,Chicago,IL,60613,41.96799271,-87.66263241
5040 N. Kenmore Ave.,Chicago,IL,60640,41.9635354,-87.65179619
4946 N. Sheridan Road,Chicago,IL,60640,41.95758244,-87.65636944
850 W. Eastwood Ave.,Chicago,IL,60640,41.96186585,-87.65610743
4040 N. Sheridan Road,Chicago,IL,60613,41.97449607,-87.65651102
5009 N. Sheridan Road,Chicago,IL,60640,41.97294612,-87.65506712
8915 S. Loomis St.,Chicago,IL,60620,41.96652845,-87.65171856
5441 S. Michigan Ave.,Chicago,IL,60615,41.70700943,-87.64478166
5801 S. Michigan Ave.,Chicago,IL,60637,41.95568502,-87.65472513
5947 S. Indiana Ave.,Chicago,IL,60653,41.73164453,-87.65793186
6253 S. Michigan Ave.,Chicago,IL,60653,41.7952753,-87.62233438
5701 S. Michigan Ave.,Chicago,IL,60653,41.78915201,-87.62217908
5751-59 S. Michigan Ave.,Chicago,IL,60637,41.78604936,-87.62047574
325-43 E. 55th Place,Chicago,IL,60637,41.78040369,-87.62183749
110 E. 60th St.,Chicago,IL,60637,41.79098039,-87.62222411
5556 S. Michigan Ave.,Chicago,IL,60637,41.78956141,-87.62218963
346 E. 53rd St.,Chicago,IL,60615,41.79376972,-87.61813849
2115 W. 63rd St,Chicago,IL,60636,41.79297452,-87.62256852
2822 W. Jackson Blvd.,Chicago,IL,60612,41.79854996,-87.61745669
6800 S. Keating Ave.,Chicago,IL,60629,41.77953039,-87.66652651
12045 S. Emerald Ave.,Chicago,IL,60628,41.77916282,-87.6770312
1818 W. Peterson Ave.,Chicago,IL,60660,41.87753589,-87.69706305
6057 N. Lincoln Ave.,Chicago,IL,60659,41.67469008,-87.64051484
5822 N. Western Ave.,Chicago,IL,60659,41.99084916,-87.67599309
1154 N. Campbell St.,Chicago,IL,60622,41.99344157,-87.69964542
2753 W. Division St.,Chicago,IL,60622,41.99186565,-87.70954508
2654 W. North Ave.,Chicago,IL,60647,41.90876874,-87.67689152
1600 N. Talman Ave.,Chicago,IL,60647,41.90287808,-87.68963252
1723-33 N. Humboldt Blvd.,Chicago,IL,60647,41.90281875,-87.69652556
2656 W. North Ave.,Chicago,IL,60647,41.91035449,-87.69432564
"1414,1451 N. Washtenaw Ave.",Chicago,IL,60622,41.91034383,-87.69347132
"1318,1456 N. Rockwell Ave.",Chicago,IL,60622,41.91280865,-87.70180006
6200 S. University Ave.,Chicago,IL,60637,41.91035372,-87.69440401
6450 S. Stony Island Ave.,Chicago,IL,60637,41.77748903,-87.59314971
6600 S. Greenwood Ave.,Chicago,IL,60637,41.78143113,-87.59152085
6522 S. Ingleside Ave.,Chicago,IL,60637,41.782231,-87.59801573
6400 S. Maryland Ave.,Chicago,IL,60637,41.77728699,-87.58649335
848-58 E. 65th St.,Chicago,IL,60637,41.77493196,-87.59987091
817 E. 64th St.,Chicago,IL,60637,41.77610371,-87.60232857
1410 E. 62nd St.,Chicago,IL,60637,41.77861094,-87.60479472
6146 S. Kenwood Ave.,Chicago,IL,60637,41.77690925,-87.60395378
6227-29 S. Cottage Grove Ave.,Chicago,IL,60637,41.781408,-87.60580712
6129 S. Cottage Grove Ave.,Chicago,IL,60637,41.78250522,-87.59096164
